NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.449120536,-0.191020023,-0.07837177,-0.212119631,-0.249074803,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441606742,-0.16620194,-0.111059954,-0.078010788,-0.192843137,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444342833,-0.168172394,-0.128185157,-0.132166314,-0.178523358,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.447421932,-0.202844264,-0.101205373,-0.005492769,-0.189681163,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451359458,-0.231233367,-0.186142825,-0.131815122,-0.205898473,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458346939,-0.24028137,-0.231991428,-0.06384892,-0.220798823,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458874892,-0.261576233,-0.197300491,-0.160416897,-0.230796641,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.455138654,-0.244923735,-0.211130962,-0.32865817,-0.236587919,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459112218,-0.271883748,-0.222777284,-0.308278826,-0.247124755,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.46115277,-0.258402414,-0.227845249,-0.386598798,-0.247213053,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463991337,-0.268197019,-0.208054645,-0.256098321,-0.255484164,0.065214439,-0.783012383,-2.148774202,-0.875948613
11087,2010.07.17_01:12:00_TAI,1,C,-0.284681147,-0.465998887,-0.260611492,-0.216391427,-0.366570151,-0.256349249,0.059786782,-0.795937296,-0.477299864,-0.855311373
11087,2010.07.17_01:48:00_TAI,1,C,-0.283745317,-0.469027219,-0.25257034,-0.210649709,-0.282006436,-0.252177335,0.062553187,-0.81617182,-0.348355598,-0.870556902
11087,2010.07.17_02:24:00_TAI,1,C,-0.283791631,-0.468737075,-0.25326459,-0.230158965,-0.326234916,-0.24458548,0.049774195,-0.829458781,-0.477299864,-0.875452824
11087,2010.07.17_03:00:00_TAI,1,C,-0.282513227,-0.467053273,-0.2450899,-0.250771401,-0.459091045,-0.22851591,0.053020124,-0.843835448,-0.577437432,-0.898321117
11087,2010.07.17_03:36:00_TAI,1,C,-0.272405087,-0.467088106,-0.237085927,-0.217587156,-0.375858351,-0.213574585,0.065968311,-0.857531019,-0.613788741,-0.940091386
11087,2010.07.17_04:12:00_TAI,1,C,-0.268980817,-0.468048984,-0.237235019,-0.209653885,-0.33079377,-0.201650958,0.064479955,-0.876035363,-0.365502442,-0.990476
11087,2010.07.17_04:48:00_TAI,1,C,-0.269246937,-0.471646611,-0.22186859,-0.24312318,-0.348923622,-0.181996971,0.049433393,-0.920153395,-0.496504329,-0.962525864
11087,2010.07.17_05:24:00_TAI,1,C,-0.266218171,-0.471186807,-0.215512226,-0.294073065,-0.316367839,-0.172655901,0.062925446,-0.93882926,-2.148774202,-1.000329817
11087,2010.07.17_06:00:00_TAI,1,C,-0.262014655,-0.46836955,-0.186279021,-0.291100402,-0.198562114,-0.140571586,0.059564708,-0.974070946,-0.814063877,-1.027474295
11087,2010.07.17_06:36:00_TAI,1,C,-0.251142708,-0.465620056,-0.168327557,-0.254099451,-0.167728391,-0.117037124,0.058193047,-0.986884917,-2.148774202,-0.987563236
11087,2010.07.17_07:12:00_TAI,1,C,-0.229348824,-0.464949563,-0.135190623,-0.272472209,-0.195622728,-0.09658615,0.055944636,-0.998384446,-0.434089818,-0.975912181
